DepotID,ClientID,VehicleID,Distancia (km),Duracion (horas)
1,1,1,9999999999999,9999999999999
1,1,2,9999999999999,9999999999999
1,1,3,9999999999999,9999999999999
1,1,4,9999999999999,9999999999999
1,1,5,9999999999999,9999999999999
1,1,6,9999999999999,9999999999999
1,1,7,9999999999999,9999999999999
1,1,8,9999999999999,9999999999999
1,1,9,9999999999999,9999999999999
1,1,10,9999999999999,9999999999999
1,1,11,9999999999999,9999999999999
1,1,12,9999999999999,9999999999999
1,2,1,33.0616,0.6967222222222221
1,2,2,33.0616,0.6967222222222221
1,2,3,33.0616,0.6967222222222221
1,2,4,33.0616,0.6967222222222221
1,2,5,33.0616,0.6967222222222221
1,2,6,33.0616,0.6967222222222221
1,2,7,33.0616,0.6967222222222221
1,2,8,33.0616,0.6967222222222221
1,2,9,33.0616,0.6967222222222221
1,2,10,23.988358838178744,0.5997089709544686
1,2,11,23.988358838178744,0.5997089709544686
1,2,12,23.988358838178744,0.5997089709544686
1,3,1,10.1619,0.29275
1,3,2,10.1619,0.29275
1,3,3,10.1619,0.29275
1,3,4,10.1619,0.29275
1,3,5,10.1619,0.29275
1,3,6,10.1619,0.29275
1,3,7,10.1619,0.29275
1,3,8,10.1619,0.29275
1,3,9,10.1619,0.29275
1,3,10,6.703733748601222,0.16759334371503054
1,3,11,6.703733748601222,0.16759334371503054
1,3,12,6.703733748601222,0.16759334371503054
1,4,1,6.4524,0.19219444444444445
1,4,2,6.4524,0.19219444444444445
1,4,3,6.4524,0.19219444444444445
1,4,4,6.4524,0.19219444444444445
1,4,5,6.4524,0.19219444444444445
1,4,6,6.4524,0.19219444444444445
1,4,7,6.4524,0.19219444444444445
1,4,8,6.4524,0.19219444444444445
1,4,9,6.4524,0.19219444444444445
1,4,10,3.540316093988652,0.08850790234971631
1,4,11,3.540316093988652,0.08850790234971631
1,4,12,3.540316093988652,0.08850790234971631
1,5,1,21.4157,0.4837222222222222
1,5,2,21.4157,0.4837222222222222
1,5,3,21.4157,0.4837222222222222
1,5,4,21.4157,0.4837222222222222
1,5,5,21.4157,0.4837222222222222
1,5,6,21.4157,0.4837222222222222
1,5,7,21.4157,0.4837222222222222
1,5,8,21.4157,0.4837222222222222
1,5,9,21.4157,0.4837222222222222
1,5,10,17.059423956683826,0.42648559891709564
1,5,11,17.059423956683826,0.42648559891709564
1,5,12,17.059423956683826,0.42648559891709564
1,6,1,16.9241,0.37644444444444447
1,6,2,16.9241,0.37644444444444447
1,6,3,16.9241,0.37644444444444447
1,6,4,16.9241,0.37644444444444447
1,6,5,16.9241,0.37644444444444447
1,6,6,16.9241,0.37644444444444447
1,6,7,16.9241,0.37644444444444447
1,6,8,16.9241,0.37644444444444447
1,6,9,16.9241,0.37644444444444447
1,6,10,12.061419131918619,0.30153547829796545
1,6,11,12.061419131918619,0.30153547829796545
1,6,12,12.061419131918619,0.30153547829796545
1,7,1,20.126900000000003,0.40008333333333335
1,7,2,20.126900000000003,0.40008333333333335
1,7,3,20.126900000000003,0.40008333333333335
1,7,4,20.126900000000003,0.40008333333333335
1,7,5,20.126900000000003,0.40008333333333335
1,7,6,20.126900000000003,0.40008333333333335
1,7,7,20.126900000000003,0.40008333333333335
1,7,8,20.126900000000003,0.40008333333333335
1,7,9,20.126900000000003,0.40008333333333335
